绝对时间: 202405130903	起算点(秒): 1715590980.0	采样间隔(秒): 0.002000
51.752000	51.976000	0.000000
52.000000	52.228000	2.161783
52.252000	52.476000	0.000000
52.500000	52.728000	-2.334760
52.752000	52.976000	0.000000
53.000000	53.228000	2.161968
53.252000	53.476000	0.000000
53.500000	53.728000	-2.335029
53.752000	53.976000	0.000000
54.000000	54.228000	2.161764
54.252000	54.476000	0.000000
54.500000	54.728000	-2.334966
54.752000	54.976000	0.000000
55.000000	55.228000	2.161475
55.252000	55.476000	0.000000
55.500000	55.728000	-2.335422
55.752000	55.976000	0.000000
56.000000	56.228000	2.161068
56.252000	56.476000	0.000000
56.500000	56.728000	-2.335935
56.752000	56.976000	0.000000
57.000000	57.228000	2.160686
57.252000	57.476000	0.000000
57.500000	57.728000	-2.336166
57.752000	57.976000	0.000000
58.000000	58.228000	2.160986
58.252000	58.476000	0.000000
58.500000	58.728000	-2.335783
58.752000	58.976000	0.000000
59.000000	59.228000	2.161303
59.252000	59.476000	0.000000
59.500000	59.716000	-2.332208
